2026-04-21 08:03:58.358 | INFO     | kimi_cli.ui.shell:run_soul_command:741 |  - Running soul with user input: [TextPart(type='text', text='继续看那个xsu的项目进度看看到哪里了')]
2026-04-21 08:04:07.486 | INFO     | kimi_cli.soul.kimisoul:_step:860 | e1aff4f3-9689-4d4b-972c-038e4b170a34 - LLM step completed in 9.1s (input=14415, output=288)
2026-04-21 08:04:09.396 | INFO     | kimi_cli.soul.toolset:_call:221 | e1aff4f3-9689-4d4b-972c-038e4b170a34 - Tool Shell completed in 3.2s (call_id=tool_tSD3yyeZpCx90Ourq0gPAHwU)
2026-04-21 08:04:09.823 | INFO     | kimi_cli.soul.toolset:_call:221 | e1aff4f3-9689-4d4b-972c-038e4b170a34 - Tool Shell completed in 5.1s (call_id=tool_TgIlhK2WXapOXJBVfODmWSwu)
2026-04-21 08:05:07.510 | INFO     | kimi_cli.soul.toolset:_call:221 | e1aff4f3-9689-4d4b-972c-038e4b170a34 - Tool Shell completed in 60.0s (call_id=tool_cwEUkEWg6XKvpOd09ApMlNoX)
2026-04-21 08:05:15.019 | INFO     | kimi_cli.soul.toolset:_call:221 | e1aff4f3-9689-4d4b-972c-038e4b170a34 - Tool Shell completed in 0.4s (call_id=tool_gXe6F3bnaWxCucOVPP2ZkmlB)
2026-04-21 08:05:15.839 | INFO     | kimi_cli.soul.toolset:_call:221 | e1aff4f3-9689-4d4b-972c-038e4b170a34 - Tool Shell completed in 0.2s (call_id=tool_xFmIqrtIXiWlbaKgmb8AItY5)
2026-04-21 08:05:16.938 | INFO     | kimi_cli.soul.kimisoul:_step:860 | e1aff4f3-9689-4d4b-972c-038e4b170a34 - LLM step completed in 9.4s (input=17447, output=385)
2026-04-21 08:05:17.185 | INFO     | kimi_cli.soul.toolset:_call:221 | e1aff4f3-9689-4d4b-972c-038e4b170a34 - Tool Shell completed in 0.2s (call_id=tool_XnR10yWVSCdz96xXsCKpbDIT)
2026-04-21 08:05:25.171 | INFO     | kimi_cli.soul.toolset:_call:221 | e1aff4f3-9689-4d4b-972c-038e4b170a34 - Tool Shell completed in 0.2s (call_id=tool_FKCXaca83JT44TGwI7osRHXG)
2026-04-21 08:05:26.875 | INFO     | kimi_cli.soul.toolset:_call:221 | e1aff4f3-9689-4d4b-972c-038e4b170a34 - Tool Shell completed in 0.7s (call_id=tool_8K0J4YvmYAZ0RJl54sxdSS1B)
2026-04-21 08:05:27.741 | INFO     | kimi_cli.soul.kimisoul:_step:860 | e1aff4f3-9689-4d4b-972c-038e4b170a34 - LLM step completed in 10.5s (input=20492, output=432)
2026-04-21 08:05:27.965 | INFO     | kimi_cli.soul.toolset:_call:221 | e1aff4f3-9689-4d4b-972c-038e4b170a34 - Tool Shell completed in 0.2s (call_id=tool_Brgi64IqD9jQqtbdEzmuAHIz)
2026-04-21 08:05:33.986 | INFO     | kimi_cli.soul.kimisoul:_step:860 | e1aff4f3-9689-4d4b-972c-038e4b170a34 - LLM step completed in 6.0s (input=20994, output=254)
2026-04-21 08:06:01.804 | INFO     | kimi_cli.ui.shell:run_soul_command:741 |  - Running soul with user input: [TextPart(type='text', text='F G 是你的资源盘 你的记忆 应该在E盘')]
2026-04-21 08:06:07.261 | INFO     | kimi_cli.soul.toolset:_call:221 | e1aff4f3-9689-4d4b-972c-038e4b170a34 - Tool Shell completed in 0.2s (call_id=tool_5U3DKAa5vYiA2IbQ5ZoaPuXP)
2026-04-21 08:06:08.604 | INFO     | kimi_cli.soul.toolset:_call:221 | e1aff4f3-9689-4d4b-972c-038e4b170a34 - Tool Shell completed in 0.2s (call_id=tool_HweLeIVFYpkBickTlNuErb8o)
2026-04-21 08:06:09.703 | INFO     | kimi_cli.soul.kimisoul:_step:860 | e1aff4f3-9689-4d4b-972c-038e4b170a34 - LLM step completed in 7.8s (input=21268, output=339)
2026-04-21 08:06:22.427 | INFO     | kimi_cli.soul.toolset:_call:221 | e1aff4f3-9689-4d4b-972c-038e4b170a34 - Tool Shell completed in 12.7s (call_id=tool_MPyb1EYxP1fqg7r3wOVQ7OPX)
2026-04-21 08:06:26.416 | INFO     | kimi_cli.soul.toolset:_call:221 | e1aff4f3-9689-4d4b-972c-038e4b170a34 - Tool Shell completed in 0.3s (call_id=tool_2lTz8b3hgLv8rhpbJ4OvaopJ)
2026-04-21 08:06:27.565 | INFO     | kimi_cli.soul.toolset:_call:221 | e1aff4f3-9689-4d4b-972c-038e4b170a34 - Tool Shell completed in 0.3s (call_id=tool_748x7WNxjnENpBKi7nzcKNdY)
2026-04-21 08:06:28.548 | INFO     | kimi_cli.soul.kimisoul:_step:860 | e1aff4f3-9689-4d4b-972c-038e4b170a34 - LLM step completed in 6.1s (input=21702, output=256)
2026-04-21 08:06:39.553 | INFO     | kimi_cli.soul.toolset:_call:221 | e1aff4f3-9689-4d4b-972c-038e4b170a34 - Tool Shell completed in 11.0s (call_id=tool_WOzv9eQ1R45u7ndeM6rMDjZ9)
2026-04-21 08:06:43.967 | INFO     | kimi_cli.soul.toolset:_call:221 | e1aff4f3-9689-4d4b-972c-038e4b170a34 - Tool Shell completed in 0.3s (call_id=tool_Ppgh8SIMo9MMF6Ug7IIznQFN)
2026-04-21 08:06:45.413 | INFO     | kimi_cli.soul.toolset:_call:221 | e1aff4f3-9689-4d4b-972c-038e4b170a34 - Tool Shell completed in 0.3s (call_id=tool_yaN8Ik3YMXZrdmIHtMITCiIe)
2026-04-21 08:06:46.158 | INFO     | kimi_cli.soul.kimisoul:_step:860 | e1aff4f3-9689-4d4b-972c-038e4b170a34 - LLM step completed in 6.5s (input=22218, output=271)
2026-04-21 08:06:46.478 | INFO     | kimi_cli.soul.toolset:_call:221 | e1aff4f3-9689-4d4b-972c-038e4b170a34 - Tool Shell completed in 0.3s (call_id=tool_zMaiqVMaK4lTjDrI28GiOq4C)
2026-04-21 08:06:52.046 | INFO     | kimi_cli.soul.toolset:_call:221 | e1aff4f3-9689-4d4b-972c-038e4b170a34 - Tool Shell completed in 0.3s (call_id=tool_x044wIyr9QYQwGxkNVXofw7Q)
2026-04-21 08:06:55.475 | INFO     | kimi_cli.soul.kimisoul:_step:860 | e1aff4f3-9689-4d4b-972c-038e4b170a34 - LLM step completed in 9.0s (input=22842, output=390)
2026-04-21 08:07:08.349 | INFO     | kimi_cli.soul.toolset:_call:221 | e1aff4f3-9689-4d4b-972c-038e4b170a34 - Tool Shell completed in 15.0s (call_id=tool_2rLFQiyyM4OegyFSmhi7uppx)
2026-04-21 08:07:09.401 | INFO     | kimi_cli.soul.toolset:_call:221 | e1aff4f3-9689-4d4b-972c-038e4b170a34 - Tool Shell completed in 13.9s (call_id=tool_ZC2gTzDAfmCD9wKmKY6XbjLb)
2026-04-21 08:07:18.067 | INFO     | kimi_cli.soul.toolset:_call:221 | e1aff4f3-9689-4d4b-972c-038e4b170a34 - Tool Shell completed in 0.3s (call_id=tool_b9XQSe69xQXFEMruNFt3b4CG)
2026-04-21 08:07:19.192 | INFO     | kimi_cli.soul.toolset:_call:221 | e1aff4f3-9689-4d4b-972c-038e4b170a34 - Tool Shell completed in 0.3s (call_id=tool_I0UxTvJMGYfLqY8kRCw74x8m)
2026-04-21 08:07:19.987 | INFO     | kimi_cli.soul.kimisoul:_step:860 | e1aff4f3-9689-4d4b-972c-038e4b170a34 - LLM step completed in 10.6s (input=23584, output=305)
